timestamp,doc_id,page,stage,model,prompt_tokens,completion_tokens,total_tokens,cost_usd
2025-08-14T17:44:52,AWWIUfYR5QFKMa6WÉPfrSmÁWATIdIrWJTWff1nLl1BpmJzDr37ÉcUK14HFpCN2Jd85c71lP3pXZ0EkQKQL2R5eI=,8,extract,,3428,103,3531,0.0096
2025-08-14T17:45:10,ARCnOXJfMkNpVSfHsCAVJAssphnkv4SB1AJS9XcVÁGgPvTflfd8MisrxeÉgPRlvgu3y9f2DtRiHC2xWFM25Bpdg=,1,extract,,3604,168,3772,0.010690000000000002
2025-08-14T17:45:55,ARCnOXJfMkNpVSfHsCAVJAssphnkv4SB1AJS9XcVÁGgPvTflfd8MisrxeÉgPRlvgu3y9f2DtRiHC2xWFM25Bpdg=,2,extract,,3619,857,4476,0.0176175
2025-08-14T17:46:55,ARCnOXJfMkNpVSfHsCAVJAssphnkv4SB1AJS9XcVÁGgPvTflfd8MisrxeÉgPRlvgu3y9f2DtRiHC2xWFM25Bpdg=,3,extract,,3621,1361,4982,0.022662500000000002
2025-08-14T17:47:15,AYy8WtmFRM4HR2B553eTrWsÉEtTGGXHJVKaV0cYUÁxfzNlÉsZKzw4g2d9UJTP8wdMqB20iWmU4vvxC2UX994ag4=,1,extract,,3584,260,3844,0.01156
2025-08-14T17:47:46,AYy8WtmFRM4HR2B553eTrWsÉEtTGGXHJVKaV0cYUÁxfzNlÉsZKzw4g2d9UJTP8wdMqB20iWmU4vvxC2UX994ag4=,2,extract,,3714,544,4258,0.014725
2025-08-14T17:48:32,AYy8WtmFRM4HR2B553eTrWsÉEtTGGXHJVKaV0cYUÁxfzNlÉsZKzw4g2d9UJTP8wdMqB20iWmU4vvxC2UX994ag4=,3,extract,,3723,1012,4735,0.0194275
2025-08-14T17:49:12,AYy8WtmFRM4HR2B553eTrWsÉEtTGGXHJVKaV0cYUÁxfzNlÉsZKzw4g2d9UJTP8wdMqB20iWmU4vvxC2UX994ag4=,4,extract,,3612,883,4495,0.01786
2025-08-14T19:52:58,ARBsjzUlBzhr2QeNQmMB51EjKz5h92JÁp82s1ZrlCÉ3o76ysfzxL1ZMJHpxpSRlZaJFDLrx8vrNKvJEJUmrXmwg=,1,extract,,3590,242,3832,0.011395
2025-08-14T19:54:18,ARBsjzUlBzhr2QeNQmMB51EjKz5h92JÁp82s1ZrlCÉ3o76ysfzxL1ZMJHpxpSRlZaJFDLrx8vrNKvJEJUmrXmwg=,2,extract,,3706,1582,5288,0.025085000000000003
2025-08-14T19:54:54,ARBsjzUlBzhr2QeNQmMB51EjKz5h92JÁp82s1ZrlCÉ3o76ysfzxL1ZMJHpxpSRlZaJFDLrx8vrNKvJEJUmrXmwg=,3,extract,,3706,916,4622,0.018425
2025-08-14T19:56:20,ARBsjzUlBzhr2QeNQmMB51EjKz5h92JÁp82s1ZrlCÉ3o76ysfzxL1ZMJHpxpSRlZaJFDLrx8vrNKvJEJUmrXmwg=,4,extract,,3705,1390,5095,0.0231625
2025-08-14T19:57:01,ARBsjzUlBzhr2QeNQmMB51EjKz5h92JÁp82s1ZrlCÉ3o76ysfzxL1ZMJHpxpSRlZaJFDLrx8vrNKvJEJUmrXmwg=,5,extract,,3680,795,4475,0.01715
2025-08-14T19:57:16,ARBsjzUlBzhr2QeNQmMB51EjKz5h92JÁp82s1ZrlCÉ3o76ysfzxL1ZMJHpxpSRlZaJFDLrx8vrNKvJEJUmrXmwg=,6,extract,,3523,214,3737,0.0109475
